<<<<<<< HEAD
CD-133,BP,Jan supplies,1/10/2017,CD,2060,ABC,V,MISC,Main,N,11001,01,201,,,,,0,10100,
CD-133,BP,Jan supplies,1/10/2017,CD,2060,ABC,V,MISC,Main,N,57001,01,201,101,101,1,,10100,0,
CD-134,BS,Telephone,1/12/2017,CD,2061,BELL,V,MISC,Main,N,11001,01,201,,,,,0,23500,
CD-134,BS,Telephone,1/12/2017,CD,2061,BELL,V,MISC,Main,N,56001,01,201,101,101,2,,23500,0,
CD-135,BS,Rent,1/1/2017,CD,2062,Windell,V,MISC,Main,N,11001,01,201,,,,MISC-02,0,10100,
CD-135,BS,Rent,1/1/2017,CD,2062,Windell,V,MISC,Main,N,55001,01,201,101,101,1,MISC-02,23500,0,
CR-152,BP,Copy Income,1/14/2017,CR,5000,EDUCATION,C,,,N,11001,01,201,,,,,35000,0,
CR-152,BP,Copy Income,1/14/2017,CR,5000,EDUCATION,C,,,N,40001,01,201,101,101,1,,0,35000,
CR-153,BS,Interest Inc,1/16/2017,CR,5011,YOUTHTRAIN,C,,,N,11001,01,201,,,,,4500,0,
CR-153,BS,Interest Inc,1/16/2017,CR,5011,YOUTHTRAIN,C,,,N,45001,01,201,101,101,2,,0,4500,
BD-002,BP,January Budget,1/1/2017,BD,BD7003,,,,,,50001,01,101,101,101,1,,10000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7003,,,,,,50002,01,101,201,101,1,,20000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7003,,,,,,50003,01,101,301,101,1,,30000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7004,,,,,,40001,01,101,101,101,1,,50000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7004,,,,,,40101,01,101,101,201,1,,60000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7004,,,,,,44001,01,101,101,301,1,,70000,0,Original
ENC-002,BP,Encumbrance,1/15/2017,ENC,4090,ABC,V,,,,57001,04,101,101,201,1,,55000,0,
ENC-002,BP,Encumbrance,1/15/2017,ENC,4091,WINDELL,V,,,,55001,05,201,401,201,1,,57500,0,
ENC-002,BP,Encumbrance,1/15/2017,ENC,4092,UNASSIGNED,V,,,,57001,04,301,101,201,1,,60000,0,
ENC-002,BP,Encumbrance,1/15/2017,ENC,4093,ABC,V,,,,55001,05,301,101,201,1,,62500,0,
ENC-002,BP,Encumbrance,1/15/2017,ENC,4094,RAPID,V,,,,57001,01,101,101,101,1,,65000,0,
=======
CD-133,BP,Jan supplies,1/10/2017,CD,2060,ABC,V,MISC,Main,N,11001,01,201,,,,,0,10100,
CD-133,BP,Jan supplies,1/10/2017,CD,2060,ABC,V,MISC,Main,N,57001,01,201,101,101,1,,10100,0,
CD-134,BS,Telephone,1/12/2017,CD,2061,BELL,V,MISC,Main,N,11001,01,201,,,,,0,23500,
CD-134,BS,Telephone,1/12/2017,CD,2061,BELL,V,MISC,Main,N,56001,01,201,101,101,2,,23500,0,
CD-135,BS,Rent,1/1/2017,CD,2062,Windell,V,MISC,Main,N,11001,01,201,,,,MISC-02,0,10100,
CD-135,BS,Rent,1/1/2017,CD,2062,Windell,V,MISC,Main,N,55001,01,201,101,101,1,MISC-02,23500,0,
CR-152,BP,Copy Income,1/14/2017,CR,5000,EDUCATION,C,,,N,11001,01,201,,,,,35000,0,
CR-152,BP,Copy Income,1/14/2017,CR,5000,EDUCATION,C,,,N,40001,01,201,101,101,1,,0,35000,
CR-153,BS,Interest Inc,1/16/2017,CR,5011,YOUTHTRAIN,C,,,N,11001,01,201,,,,,4500,0,
CR-153,BS,Interest Inc,1/16/2017,CR,5011,YOUTHTRAIN,C,,,N,45001,01,201,101,101,2,,0,4500,
BD-002,BP,January Budget,1/1/2017,BD,BD7003,,,,,,50001,01,101,101,101,1,,10000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7003,,,,,,50002,01,101,201,101,1,,20000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7003,,,,,,50003,01,101,301,101,1,,30000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7004,,,,,,40001,01,101,101,101,1,,50000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7004,,,,,,40101,01,101,101,201,1,,60000,0,Original
BD-002,BP,January Budget,1/1/2017,BD,BD7004,,,,,,44001,01,101,101,301,1,,70000,0,Original
ENC-002,BP,Encumbrance,1/15/2017,ENC,4090,ABC,V,,,,57001,04,101,101,201,1,,55000,0,
ENC-002,BP,Encumbrance,1/15/2017,ENC,4091,WINDELL,V,,,,55001,05,201,401,201,1,,57500,0,
ENC-002,BP,Encumbrance,1/15/2017,ENC,4092,UNASSIGNED,V,,,,57001,04,301,101,201,1,,60000,0,
ENC-002,BP,Encumbrance,1/15/2017,ENC,4093,ABC,V,,,,55001,05,301,101,201,1,,62500,0,
ENC-002,BP,Encumbrance,1/15/2017,ENC,4094,RAPID,V,,,,57001,01,101,101,101,1,,65000,0,
>>>>>>> branch 'master' of https://github.com/ethanhort/PayrollBridge.git
